"hyperlink","Brand","Wine","Rating","ReviewCount","Price","Timestamp","Category","Year","WineID"
"/NL/nl/pago-del-vicario-penta/w/16922?year=2021&price_id=35585558","Pago del Vicario","Penta 2021",3.5,1910,10,2024-10-05,"Red",2021,"16922"
"/NL/nl/el-coto-crianza/w/8619?year=2020&price_id=35896505","El Coto","Crianza 2020",3.7,1490,10,2024-10-05,"Red",2020,"8619"
"/NL/nl/bodegas-care-garnacha-nativa-vinas-viejas/w/6854821?year=2021&price_id=32675689","Bodegas Care","Garnacha Nativa Viñas Viejas 2021",3.9,158,9.99,2024-10-05,"Red",2021,"6854821"
"/NL/nl/bodegas-care-crianza-tempranillo-merlot/w/1369510?year=2020&price_id=33509424","Bodegas Care","Crianza Tempranillo - Merlot 2020",3.9,50,9.99,2024-10-05,"Red",2020,"1369510"
"/NL/nl/atalaya-almansa-laya/w/1193347?year=2021&price_id=36601245","Atalaya","Laya 2021",3.8,1688,9.99,2024-10-05,"Red",2021,"1193347"
"/NL/nl/familia-torres-natureo-syrah/w/2109187?year=2023&price_id=36578722","Familia Torres","Natureo Syrah 2023",2.5,773,9.99,2024-10-05,"Red",2023,"2109187"
"/NL/nl/rumors-roble/w/5372627?year=2020&price_id=31175121","Rumors","Roble 2020",3.6,275,9.99,2024-10-05,"Red",2020,"5372627"
"/NL/nl/bodegas-care-carinena-nativa-vinas-viejas/w/8081153?year=2021&price_id=34052954","Bodegas Care","Cariñena Nativa Viñas Viejas 2021",4,124,9.99,2024-10-05,"Red",2021,"8081153"
"/NL/nl/vinos-alex-ontinar-tempranillo/w/4561700?year=2016&price_id=23402094","Vinos Alex","Ontinar Tempranillo 2016",3.5,76,9.95,2024-10-05,"Red",2016,"4561700"
"/NL/nl/bodegas-bastida-churubito-tempranillo/w/9391795?year=2022&price_id=34408160","Bodegas Bastida","Churubito Tempranillo 2022",4.2,121,9.95,2024-10-05,"Red",2022,"9391795"
"/NL/nl/hola-al-mercado-syrah-garnacha-tinta/w/11201011?year=2020&price_id=34930061","Hola","Al Mercado Syrah - Garnacha Tinta 2020",3.7,90,9.95,2024-10-05,"Red",2020,"11201011"
"/NL/nl/bodegas-piqueras-sa-marius-reserva/w/2965?year=2019&price_id=35354926","Bodegas Piqueras","Marius Reserva 2019",3.7,364,9.95,2024-10-05,"Red",2019,"2965"
"/NL/nl/marques-de-riscal-vina-collada-rioja/w/1138073?year=2020&price_id=36609642","Marqués de Riscal","Viña Collada Rioja 2020",3.6,18660,9.95,2024-10-05,"Red",2020,"1138073"
"/NL/nl/estevez-bodegas-y-vinedos-versos-de-valtuille-mencia/w/4788844?year=2021&price_id=32898465","Estévez Bodegas y Viñedos","Versos de Valtuille Mencía 2021",3.7,74,9.95,2024-10-05,"Red",2021,"4788844"
"/NL/nl/honoro-vera-irreverent-red-blend/w/4915333?year=2021&price_id=35888035","Honoro Vera","Irreverent Red Blend 2021",3.7,51,9.95,2024-10-05,"Red",2021,"4915333"
"/NL/nl/valdovinos-seleccion-roble-somontano/w/10371044?year=2019&price_id=34035594","Valdovinos","Selección Roble 2019",3.6,41,9.95,2024-10-05,"Red",2019,"10371044"
"/NL/nl/chozas-carrascal-bayas-tinto/w/9555279?year=2020&price_id=32427724","Chozas Carrascal","Bayas Tinto 2020",3.7,30,9.95,2024-10-05,"Red",2020,"9555279"
"/NL/nl/penaranda-ribera-del-duero/w/7673443?year=2022&price_id=36945510","Castillo de Penaranda","Ribera del Duero 2022",3.5,121,9.95,2024-10-05,"Red",2022,"7673443"
"/NL/nl/bodega-campo-eliseo-campesino/w/1574516?year=2020&price_id=35187091","Bodega Campo Eliseo","Campesino 2020",3.9,108,9.95,2024-10-05,"Red",2020,"1574516"
