Brand,Wine,Rating,Price
Familia Torres,Floralis Moscatel Oro N.V.,"3,8","€12,95"
Menade,Dulce Menade Sauvignon 2023,"4,0","€13,67"
Falset Marçà,Ètim Tradition Verema Tardana Negre Dolç 2018,"3,8","€16,95"
Javier Sanz Viticultor,V Dulce de Invierno 2021,"4,2","€27,95"
Javier Sanz Viticultor,Semidulce 2023,"4,1","€11,95"
Bodegas Care,Moscatel de Alejandría 2020,"3,8","€9,50"
Bodegas Enguera,Verdil de Gel 2022,"4,2","€19,95"
Enrique Mendoza,Dolç de Mendoza 2014,"4,1","€31,95"
Bodegas 6º Elemento - Vino Sexto Elemento,Orange 2018,"4,3","€37,50"
Pago de Tharsys,Dulce Natural 2020,"4,3","€19,95"
José Pariente,'Apasionado de Jose Pariente' Dulce 2021,"4,0","€19,45"
Javier Sanz Viticultor,V Dulce de Invierno 2020,"4,2","€23,95"
Marqués del Turia,Viura - Sauvignon Blanc Medium White 2023,"3,3","€5,95"
Gratavinum,Dolç d'en Piqué Priorat 2017,"4,1","€29,45"
Dehesa El Carrascal,Dulcemar Garnacha Tintorera Dolce 2021,"3,4","€13,50"
José Pariente,'Apasionado de Jose Pariente' Dulce 2022,"4,0","€20,95"
De Muller,Garnacha 1926,"4,4",€101
Jorge Ordóñez,No. 2 Victoria 2023,"4,3","€25,46"
Gramona,Vi De Glass Gewürztraminer 2023,"4,1","€18,85"
Alta Alella,Dolç Mataró 2023,"4,1","€23,50"
Jorge Ordóñez,No. 1 Seleccion Especial 2022,"4,0","€17,86"
Falset Marçà,Ètim Tradition Verema Tardana Negre Dolç 2013,"3,8","€11,89"
Gramona,Vi De Glass Riesling 2021,"4,1","€25,59"
Gramona,Vi De Glass Riesling 2020,"4,1","€19,05"
Alvear,Moscatel N.V.,"3,8","€10,36"
Enate,Gewürztraminer Dulce 2022,"4,1","€13,90"
Jorge Ordóñez,No. 3 Old Vines 2018,"4,4","€57,90"
De Moya,Gloria Dulce N.V.,"4,2","€11,50"
Gramona,Vi De Glass Xarel-lo Dulce Frio 2018,"4,1","€24,42"
Baronia de Turis,Dona Dolça Moscatel 2020,"3,7","€7,91"
Jorge Ordóñez,No. 2 Victoria 2018,"4,4","€22,30"
Attis,Sitta Dulce Nana 2019,"4,3",€60
Alta Alella,Blanc de Neu 2022,"4,1","€19,75"
Gramona,Vi De Glass Gewürztraminer 2010,"3,9","€40,74"
Pago de Cirsus,Vendimia Tardia Allegro Moscatel 2008,"4,0","€17,45"
Jorge Ordóñez,No. 4 Esencia 2015,"4,5","€96,32"
Gutiérrez de la Vega,Casta Diva Cosecha Miel Moscatel Dulce 2021,"4,1","€22,22"
Attis,Sitta Pereiras Blanco Dulce 2022,"4,1","€29,50"
Gutiérrez de la Vega,Casta Diva La Diva 2022,"4,1","€23,30"
Menade,Dulce Menade Sauvignon 2019,"4,1","€14,40"
Alta Alella,Dolç Mataró 2020,"4,2","€22,50"
Astobiza,Late Harvest 2019,"4,0","€29,95"
Mas Oller,Malvasia Bóta 2 Anys 2021,"4,3","€21,55"
Enrique Mendoza,Dolç de Mendoza 2013,"4,0","€19,75"
Gutiérrez de la Vega,Casta Diva Reserva Real 2002,"4,4","€48,90"
Menade,Dulce Menade Sauvignon 2022,"4,1","€9,79"
Enate,Gewürztraminer Dulce 2019,"4,0","€13,90"
Enate,Gewürztraminer Dulce 2021,"4,1","€19,20"
Finca Moncloa,Tintilla de Rota 2019,"4,5","€61,21"
Bodegas Ochoa,Vendimia Tardía Moscatel 2022,"4,0","€20,16"
Bodegas El Sequé,Dulce 2018,"4,1","€39,50"
Celler Gerisena,Essència de Gerisena 2022,"3,9","€16,15"
Jorge Ordóñez,No. 1 Seleccion Especial 2020,"4,1","€19,50"
Luzon,Sauvignon Blanc Dulce 2021,"4,2","€18,95"
Jorge Ordóñez,No. 1 Seleccion Especial 2016,"4,0","€54,50"
