Brand,Wine,Rating,Price
Gil Luque,Leyenda Fino Sherry N.V.,"3,7","€7,50"
Barbadillo,Amontillado Sherry N.V.,"3,6","€8,30"
Juan Pinero,Manzanilla Jarona N.V.,"3,4","€8,49"
Juan Pinero,Manzanilla Maruja N.V.,"3,6","€9,50"
El Maestro Sierra,Fino Sherry N.V.,"3,6","€13,50"
Gutiérrez Colosía,Fino Sherry N.V.,"3,4","€13,95"
Fernando de Castilla,Classic Sweet Cream Sherry N.V.,"4,1","€13,95"
Lustau,Jarana Fino Sherry (Very Dry) N.V.,"3,3","€14,49"
Callejuela,Manzanilla en Rama N.V.,"4,0","€14,90"
Rodríguez de Vera,Pureta Vermut N.V.,"4,2","€14,95"
Fernando de Castilla,Classic Dry Sec Fino N.V.,"3,3","€14,95"
Lustau,Papirusa Manzanilla (Solera Reserva) N.V.,"3,6","€14,99"
Barón,Micaela Moscatel N.V.,"3,9",€15
Tio Pepe,Palomino Fino Sherry (Muy Seco) N.V.,"3,3","€15,15"
Osborne,Fino Sherry N.V.,"3,1","€15,40"
Osborne,Manzanilla Sherry Fina N.V.,"3,1","€15,40"
Barbadillo,Pedro Ximénez Sherry N.V.,"3,8","€15,50"
Fernando de Castilla,Classic Dry Amontillado Sherry N.V.,"3,7","€15,95"
Fernando de Castilla,Oloroso Classic Dry N.V.,"3,7","€15,95"
Pastora,Pedro Ximénez Sherry N.V.,"4,1","€16,30"
Marqués del Real Tesoro,Eminencia Pedro Ximenez N.V.,"4,1","€16,49"
Lustau,Los Arcos Dry Amontillado Sherry (Solera Reserva) N.V.,"3,6","€17,95"
Fernando de Castilla,Classic Oloroso N.V.,"3,5","€18,50"
Alvear,Pedro Ximénez de Añada 2019,"4,1","€18,75"
Gutiérrez Colosía,Amontillado Sherry N.V.,"3,8","€18,95"
Toro Albalá,Don PX Pedro Ximenez 2020,"4,2","€43,90"
Fernando de Castilla,Antique Palo Cortado N.V.,"4,2","€41,95"
Fernando de Castilla,Antique Amontillado Sherry N.V.,"3,9","€41,50"
Bodegas Tradición,Fino Tradición N.V.,"3,9","€40,95"
Williams & Humbert,Dos Cortados Palo Cortado Solera Especial Aged 20 Years N.V.,"4,2","€39,95"
Williams & Humbert,Don Guido Pedro Ximenez Solera Especial Aged 20 Years N.V.,"4,4","€39,95"
