Brand,Wine,Rating,Price
Teso La Monja,Tinto 2019,"4,7",€2.795
Dominio de Pingus,Pingus 2020,"4,4",€1.640
Descendientes de J. Palacios,La Faraona Bierzo (Corullón) 2021,"4,6",€1.595
Álvaro Palacios,L'Ermita Velles Vinyes Priorat 2021,"4,7",€1.350
Vega Sicilia,Unico (Gran Reserva) 1991,"4,7","€1.260,40"
Sierra Cantabria,Mágico 2021,"4,7",€945
Vega Sicilia,Unico (Gran Reserva) 2008,"4,7","€801,17"
Vega Sicilia,Unico Reserva Especial Edición 2023,"4,7","€742,48"
Vega Sicilia,Unico Reserva Especial Edición 2017,"4,7",€699
Vega Sicilia,Unico Reserva Especial Edición 2022,"4,9","€696,74"
Vega Sicilia,Unico Reserva Especial Edición 2020,"4,8","€681,50"
Vega Sicilia,Unico Reserva Especial Edición 2015,"4,8","€666,25"
Vega Sicilia,Unico Reserva Especial Edición 2019,"4,8","€666,25"
Vega Sicilia,Unico (Gran Reserva) 2000,"4,7",€650
Parés Baltà,Dominio Cusiné 1790 1996,"4,6","€641,75"
Vega Sicilia,Unico (Gran Reserva) 2013,"4,7","€562,58"
Vega Sicilia,Unico (Gran Reserva) 2014,"4,7","€562,58"
Vega Sicilia,Unico (Gran Reserva) 2012,"4,7","€562,58"
Ordóñez,Vatan Arena Tinta de Toro 2016,"4,7",€485
Vega Sicilia,Valbuena 5º (Reserva) 1997,"4,4","€478,40"
Artadi,Viña El Pison 2017,"4,6","€475,16"
Marqués de Murrieta,Castillo Ygay Gran Reserva Especial Tinto 2010,"4,6",€475
Artadi,Viña El Pison 2018,"4,8","€461,96"
Sierra Cantabria,Mágico 2020,"4,7",€450
Artadi,Viña El Pison 2019,"4,7","€448,76"
Sierra Cantabria,Mágico 2019,"4,7",€425
Álvaro Palacios,Les Aubaguetes Priorat 2021,"4,5",€409
Álvaro Palacios,Quiñon de Valmira 2018,"4,6",€395
La Rioja Alta,Gran Reserva 890 2004,"4,5","€390,41"
Álvaro Palacios,Quiñon de Valmira 2021,"4,6",€370
Tinto Pesquera,Janus Gran Reserva 2018,"4,3","€364,38"
Bodegas El Nido,El Nido 2021,"4,5",€350
Artadi,Viña El Pison 2020,"4,6",€345
Callejo,Félix Callejo (Viñedos de la Familia) 2005,"4,5","€337,59"
Dominio de Pingus,Flor de Pingus 2019,"4,5","€333,89"
Vega Sicilia,Valbuena 5º (Reserva) 2011,"4,6","€316,04"
Álvaro Palacios,Les Aubaguetes Priorat 2017,"4,5","€311,02"
Bodega Numanthia,Termanthia 2000,"4,3","€303,40"
Álvaro Palacios,Les Aubaguetes Priorat 2019,"4,5","€303,40"
Bodega Contador (Benjamín Romeo),Contador Rioja 2011,"4,6","€300,35"
Marqués de Murrieta,Castillo Ygay Gran Reserva Especial Tinto 2012,"4,6",€295
Alión,Ribera del Duero 2018,"4,6","€290,95"
Bodegas Roda,Cirsion Rioja 1999,"4,5","€288,15"
Callejo,Gran Callejo 2005,"4,2","€284,92"
Álvaro Palacios,La Baixada 2021,"4,4",€280
Álvaro Palacios,La Baixada 2020,"4,4",€280
Artadi,El Carretil 2016,"4,4","€275,89"
Artadi,El Carretil 2017,"4,5","€269,24"
Ferrer Bobet,Selecció Especial Vinyes Velles 2016,"4,4","€265,28"
Viñedos de Páganos,La Nieta 2021,"4,5",€265
