Brand,Wine,Rating,Price
Castillo San Lorenzo,Rioja Viura 2022,"3,7","€5,02"
Conde Pinel,Viura - Verdejo 2023,"3,3","€5,25"
Autentico,Organic Blanco 2022,"3,4","€5,49"
Bodegas Yuntero,Ortiga Airen - Sauvignon Blanc 2023,"3,5","€5,50"
Radio Boka,Verdejo Castilla y León 2023,"3,5","€5,50"
Pasos de la Capula,Verdejo 2023,"3,3","€5,59"
Marqués del Turia,Blanco (Viura - Sauvignon Blanc) 2023,"3,2","€5,95"
Bodegas Yuntero,Mundo de Yuntero Bio Blanco 2023,"3,5","€5,95"
Bodegas Yuntero,Mundo de Yuntero Bio Blanco 2022,"3,5","€5,95"
Añoranza,Sauvignon Blanc 2023,"3,2","€5,95"
Bodegas Yuntero,Pure Organic Sauvignon Blanc 2022,"3,2","€5,95"
Bodegas Yuntero,Pure Organic Verdejo 2023,"3,5","€5,95"
Bodegas Latúe,Clearly Organic Airén - Sauvignon Blanc 2022,"3,7","€5,95"
Cuatro Rayas,Bitácora Verdejo 2023,"3,6","€5,95"
Santo Cristo,Flor de Añón Verdejo 2023,"3,4","€5,95"
De Moya,Mola Blanco 2021,"3,9","€5,99"
Bodegas Milenium,Pardal Verdejo 2022,"3,2","€6,16"
Biotiful,Organic Verdejo 2023,"3,5","€6,30"
Barinas,Sauvignon Blanc 2023,"4,0","€6,50"
Macatela,Airén Semidulce 2020,"3,0","€6,65"
Fuego,Verdejo 2022,"3,4","€6,75"
Viñedos y Bodegas Muñoz,Legado Muñoz Macabeo - Verdejo 2023,"4,2","€6,95"
Braña Vieja,Blanco 2023,"2,9","€6,95"
Cosecheros y Criadores,Sensus Eco 2015,"2,5","€6,95"
Viña Oria,Macabeo 2018,"3,3","€6,95"
Valdesil,Godello Sobre Lias 2022,"4,0","€19,50"
Mar de Frades,Albariño Atlantico 2021,"4,1","€19,50"
Genium,Ximenis 2022,"3,5","€19,50"
Genium,Ximenis 2020,"3,5","€19,50"
Algueira,Brandan 2021,"3,8","€19,50"
Bodegas Manzanos,Blanco Fermentado en Barrica 2021,"4,1","€19,50"
Algueira,Brandan 2022,"3,9","€19,50"
Gramona,Gessamí 2022,"4,2","€19,50"
Callejuela,Hacienda de Doña Francisca 2021,"3,7","€19,40"
Celler Frisach,La Foradada Sol i Cerç 2022,"4,0","€19,30"
Lagar de Cervera,Albariño 2022,"4,0","€23,80"
La Quinta,Marchamalo Godello 2023,"4,0","€19,01"
Castro Brey,Sin Palabras Albariño 2023,"4,1",€19
Celler Pasanau,Finca les Myriams 2017,"4,0",€19
Rodríguez de Vera,Dominio de Casalta Hoya Colorá Chardonnay 2020,"4,0","€18,95"
Valdesil,Godello Sobre Lias 2020,"4,1","€18,95"
Equipo Navazos,Ovni Blanco Seco 2022,"3,5","€18,95"
Valdavia,Cuñas Davia Blanco 2023,"4,0","€18,95"
Valtea,Albariño 2022,"4,0","€18,95"
Gramona,Mas Escorpí Chardonnay Penedès 2022,"3,9","€18,95"
Mar de Frades,Albariño Atlantico 2023,"4,1","€21,90"
Los Frailes,Blanc de Trilogia 2022,"4,2","€18,95"
Hiruzta,Berezia 2020,"3,8","€18,95"
Vinyes del Terrer,Blanc del Terrer 2021,"3,8","€18,95"
Can Sumoi,Xarel-Lo 2022,"4,0","€18,95"
Emilio Moro,El Zarzal Godello 2020,"4,0","€18,95"
Attis,De la Mar el Mero Albariño 2022,"3,9","€20,99"
Prieto Pariente,O Chan de Prieto Pariente 2023,"4,1","€18,75"
