hyperlink,Brand,Wine,Rating,Price,Timestamps
/NL/nl/familia-torres-floralis-moscatel-oro/w/3777?price_id=31336695,Familia Torres,Floralis Moscatel Oro N.V.,"3,8","€12,95",1727909931.471697
/NL/nl/menade-dulce-menade-sauvignon/w/1840065?year=2023&price_id=35661016,Menade,Dulce Menade Sauvignon 2023,"4,0","€14,95",1727909931.4727018
/NL/nl/falset-marca-sccl-etim-tradition-verema-tardana-negre-dolc/w/1766322?year=2018&price_id=30004035,Falset Marçà,Ètim Tradition Verema Tardana Negre Dolç 2018,"3,8","€16,95",1727909931.4727018
/NL/nl/javier-sanz-viticultor-v-dulce-de-invierno/w/3240337?year=2021&price_id=35671045,Javier Sanz Viticultor,V Dulce de Invierno 2021,"4,2","€27,95",1727909931.4738536
/NL/nl/javier-sanz-viticultor-semidulce/w/2225389?year=2023&price_id=35548634,Javier Sanz Viticultor,Semidulce 2023,"4,1","€11,95",1727909931.4748797
/NL/nl/bodegas-care-moscatel-de-alejandria/w/1425883?year=2020&price_id=35336771,Bodegas Care,Moscatel de Alejandría 2020,"3,8","€9,50",1727909931.4759023
/NL/nl/enguera-verdil-de-gel/w/1859885?year=2022&price_id=34155534,Bodegas Enguera,Verdil de Gel 2022,"4,2","€19,95",1727909931.4759023
/NL/nl/enrique-mendoza-dolc-de-mendoza/w/82956?year=2014&price_id=24903408,Enrique Mendoza,Dolç de Mendoza 2014,"4,1","€31,95",1727909931.4779868
/NL/nl/bodegas-6o-elemento-vino-sexto-elemento-orange/w/6518713?year=2018&price_id=25244064,Bodegas 6º Elemento - Vino Sexto Elemento,Orange 2018,"4,3","€37,50",1727909931.4790897
/NL/nl/pago-de-tharsys-dulce-natural/w/8097174?year=2020&price_id=29985732,Pago de Tharsys,Dulce Natural 2020,"4,3","€19,95",1727909931.4790897
/NL/nl/jose-pariente-apasionado-de-jose-pariente-dulce/w/1620854?year=2021&price_id=31283808,José Pariente,'Apasionado de Jose Pariente' Dulce 2021,"4,0","€19,45",1727909931.4800966
/NL/nl/javier-sanz-viticultor-v-dulce-de-invierno/w/3240337?year=2020&price_id=35622720,Javier Sanz Viticultor,V Dulce de Invierno 2020,"4,2","€23,95",1727909931.4812403
/NL/nl/marques-del-turia-viura-sauvignon-blanc-medium-white/w/6264325?year=2023&price_id=36778224,Marqués del Turia,Viura - Sauvignon Blanc Medium White 2023,"3,3","€5,95",1727909931.4812403
/NL/nl/gratavinum-dolc-d-en-pique-priorat/w/1233563?year=2017&price_id=20006291,Gratavinum,Dolç d'en Piqué Priorat 2017,"4,1","€29,45",1727909931.4822657
/NL/nl/dehesa-el-carrascal-dulcemar-garnacha-tintorera-dolce/w/1753199?year=2021&price_id=35692867,Dehesa El Carrascal,Dulcemar Garnacha Tintorera Dolce 2021,"3,4","€13,50",1727909931.4832788
/NL/nl/murviedro-moscatel-alicante-dulce-dna-fashion/w/3355921?year=2014&price_id=6619872,Murviedro,DNA Murviedro Moscatel Dulce 2014,"3,7","€9,95",1727909931.4845695
/NL/nl/jose-pariente-apasionado-de-jose-pariente-dulce/w/1620854?year=2022&price_id=36929044,José Pariente,'Apasionado de Jose Pariente' Dulce 2022,"4,0","€20,95",1727909931.4856048
/NL/nl/es-de-muller-garnacha/w/3180289?year=1926&price_id=35372375,De Muller,Garnacha 1926,"4,4",€101,1727909931.488163
/NL/nl/jorge-ordonez-and-co-no-2-victoria/w/1285845?year=2023&price_id=34662827,Jorge Ordóñez,No. 2 Victoria 2023,"4,3","€25,46",1727909931.490267
/NL/nl/gutierrez-de-la-vega-casta-diva-cosecha-miel-moscatel-dulce/w/2549470?year=2022&price_id=37131645,Gutiérrez de la Vega,Casta Diva Cosecha Miel Moscatel Dulce 2022,"4,1","€16,20",1727909931.4923873
/NL/nl/alta-alella-dolc-mataro/w/1199779?year=2023&price_id=36125086,Alta Alella,Dolç Mataró 2023,"4,1","€23,50",1727909931.4944685
/NL/nl/jorge-ordonez-and-co-no-1-seleccion-especial/w/1618793?year=2022&price_id=33445015,Jorge Ordóñez,No. 1 Seleccion Especial 2022,"4,0","€17,86",1727909931.4965487
/NL/nl/falset-marca-sccl-etim-tradition-verema-tardana-negre-dolc/w/1766322?year=2013&price_id=24191052,Falset Marçà,Ètim Tradition Verema Tardana Negre Dolç 2013,"3,8","€11,89",1727909931.497561
/NL/nl/gramona-vi-de-glass-riesling/w/2147598?year=2021&price_id=33624944,Gramona,Vi De Glass Riesling 2021,"4,1","€25,59",1727909931.498698
/NL/nl/gramona-vi-de-glass-riesling/w/2147598?year=2020&price_id=27097591,Gramona,Vi De Glass Riesling 2020,"4,1","€19,05",1727909931.4998174
/NL/nl/alvear-moscatel/w/734286?price_id=29109139,Alvear,Moscatel N.V.,"3,8","€10,36",1727909931.5008435
/NL/nl/enate-gewurztraminer-dulce/w/5727215?year=2022&price_id=36796829,Enate,Gewürztraminer Dulce 2022,"4,1","€13,90",1727909931.5031216
/NL/nl/jorge-ordonez-and-co-no-3-old-vines/w/1164856?year=2018&price_id=32797201,Jorge Ordóñez,No. 3 Old Vines 2018,"4,4","€57,90",1727909931.504128
/NL/nl/de-moya-gloria-dulce/w/7735862?price_id=30893969,De Moya,Gloria Dulce N.V.,"4,2","€11,50",1727909931.5053096
/NL/nl/gramona-vi-de-glass-xarel-lo-dulce-frio/w/5879030?year=2018&price_id=31882979,Gramona,Vi De Glass Xarel-lo Dulce Frio 2018,"4,1","€24,42",1727909931.506459
/NL/nl/baronia-de-turis-dona-dolca-moscatel/w/98902?year=2020&price_id=33359271,Baronia de Turis,Dona Dolça Moscatel 2020,"3,7","€7,91",1727909931.506459
/NL/nl/jorge-ordonez-and-co-no-2-victoria/w/1285845?year=2018&price_id=35355943,Jorge Ordóñez,No. 2 Victoria 2018,"4,4","€22,30",1727909931.5075738
/NL/nl/attis-sitta-dulce-nana/w/3666512?year=2019&price_id=31467150,Attis,Sitta Dulce Nana 2019,"4,3",€60,1727909931.5087051
/NL/nl/alta-alella-blanc-de-neu/w/1699020?year=2022&price_id=32264268,Alta Alella,Blanc de Neu 2022,"4,1","€19,75",1727909931.5087051
/NL/nl/gramona-vi-de-glass-gewurztraminer/w/1433204?year=2010&price_id=35387617,Gramona,Vi De Glass Gewürztraminer 2010,"3,9","€40,74",1727909931.5107672
/NL/nl/pago-de-cirsus-vendimia-tardia-allegro-moscatel/w/3556247?year=2008&price_id=36767707,Pago de Cirsus,Vendimia Tardia Allegro Moscatel 2008,"4,0","€17,45",1727909931.5118966
/NL/nl/jorge-ordonez-and-co-no-4-esencia/w/84128?year=2015&price_id=31484913,Jorge Ordóñez,No. 4 Esencia 2015,"4,5","€96,32",1727909931.5118966
/NL/nl/gutierrez-de-la-vega-casta-diva-cosecha-miel-moscatel-dulce/w/2549470?year=2021&price_id=33021713,Gutiérrez de la Vega,Casta Diva Cosecha Miel Moscatel Dulce 2021,"4,1","€15,35",1727909931.5130286
/NL/nl/attis-sitta-pereiras-blanco-dulce/w/4686481?year=2022&price_id=35015925,Attis,Sitta Pereiras Blanco Dulce 2022,"4,1","€29,50",1727909931.5130286
/NL/nl/gutierrez-de-la-vega-casta-diva-la-diva/w/3365121?year=2022&price_id=36520508,Gutiérrez de la Vega,Casta Diva La Diva 2022,"4,1","€23,30",1727909931.514161
/NL/nl/menade-dulce-menade-sauvignon/w/1840065?year=2019&price_id=25886540,Menade,Dulce Menade Sauvignon 2019,"4,1","€14,40",1727909931.5153177
/NL/nl/alta-alella-dolc-mataro/w/1199779?year=2020&price_id=37085068,Alta Alella,Dolç Mataró 2020,"4,2","€22,50",1727909931.5153177
/NL/nl/astobiza-late-harvest/w/5475308?year=2019&price_id=35351282,Astobiza,Late Harvest 2019,"4,0","€29,95",1727909931.5164545
/NL/nl/mas-oller-malvasia-bota-2-anys/w/7772713?year=2021&price_id=34882950,Mas Oller,Malvasia Bóta 2 Anys 2021,"4,3","€21,55",1727909931.5174646
/NL/nl/enrique-mendoza-dolc-de-mendoza/w/82956?year=2013&price_id=19121721,Enrique Mendoza,Dolç de Mendoza 2013,"4,0","€19,75",1727909931.5185645
/NL/nl/menade-dulce-menade-sauvignon/w/1840065?year=2022&price_id=33721188,Menade,Dulce Menade Sauvignon 2022,"4,1","€9,79",1727909931.51957
/NL/nl/gutierrez-de-la-vega-casta-diva-reserva-real/w/1457422?year=2002&price_id=12224634,Gutiérrez de la Vega,Casta Diva Reserva Real 2002,"4,4","€48,90",1727909931.5209765
/NL/nl/enate-gewurztraminer-dulce/w/5727215?year=2019&price_id=35355387,Enate,Gewürztraminer Dulce 2019,"4,0","€13,90",1727909931.5209765
/NL/nl/enate-gewurztraminer-dulce/w/5727215?year=2021&price_id=33899763,Enate,Gewürztraminer Dulce 2021,"4,2","€19,20",1727909931.5232444
/NL/nl/finca-moncloa-tintilla-de-rota/w/1629526?year=2019&price_id=33211524,Finca Moncloa,Tintilla de Rota 2019,"4,5","€61,21",1727909931.524378
/NL/nl/bodegas-ochoa-vendimia-tardia-moscatel/w/50494?year=2022&price_id=35500957,Bodegas Ochoa,Vendimia Tardía Moscatel 2022,"4,0","€20,16",1727909931.5254173
/NL/nl/bodegas-el-seque-dulce/w/5244737?year=2018&price_id=34189074,Bodegas El Sequé,Dulce 2018,"4,1","€39,50",1727909931.5264509
/NL/nl/celler-gerisena-essencia-de-gerisena-emporda/w/5439200?year=2022&price_id=32408642,Celler Gerisena,Essència de Gerisena 2022,"3,9","€16,15",1727909931.5274634
/NL/nl/jorge-ordonez-and-co-no-1-seleccion-especial/w/1618793?year=2020&price_id=35356251,Jorge Ordóñez,No. 1 Seleccion Especial 2020,"4,1","€19,50",1727909931.5285363
/NL/nl/jorge-ordonez-and-co-no-1-seleccion-especial/w/1618793?year=2016&price_id=35356290,Jorge Ordóñez,No. 1 Seleccion Especial 2016,"4,0","€54,50",1727909931.5296817
/NL/nl/luzon-sauvignon-blanc-dulce/w/10341504?year=2021&price_id=30262164,Luzon,Sauvignon Blanc Dulce 2021,"4,2","€18,95",1727909931.5296817
