hyperlink,Brand,Wine,Rating,Price,Timestamps
/NL/nl/gil-luque-leyenda-fino-sherry/w/1462876?price_id=1853013,Gil Luque,Leyenda Fino Sherry N.V.,"3,7","€7,50",1727910226.2284632
/NL/nl/barbadillo-amontillado-sherry/w/6477445?price_id=21883518,Barbadillo,Amontillado Sherry N.V.,"3,6","€8,30",1727910226.2284632
/NL/nl/juan-pinero-manzanilla-jarona/w/6656303?price_id=35887989,Juan Pinero,Manzanilla Jarona N.V.,"3,4","€8,49",1727910226.2294755
/NL/nl/el-maestro-sierra-fino-sherry/w/1670124?price_id=35001629,El Maestro Sierra,Fino Sherry N.V.,"3,6","€13,50",1727910226.2294755
/NL/nl/fernando-de-castilla-classic-sweet-cream-sherry/w/7706653?price_id=22958369,Fernando de Castilla,Classic Sweet Cream Sherry N.V.,"4,1","€13,95",1727910226.2305431
/NL/nl/lustau-jarana-fino-sherry-very-dry/w/1591507?price_id=20978078,Lustau,Jarana Fino Sherry (Very Dry) N.V.,"3,3","€14,49",1727910226.2315478
/NL/nl/callejuela-manzanilla-en-rama/w/5344587?price_id=36576888,Callejuela,Manzanilla en Rama N.V.,"4,0","€14,90",1727910226.2315478
/NL/nl/rodriguez-de-vera-pureta-vermut/w/7172933?price_id=29804564,Rodríguez de Vera,Pureta Vermut N.V.,"4,2","€14,95",1727910226.232565
/NL/nl/fernando-de-castilla-classic-dry-sec-fino/w/1215718?price_id=25192921,Fernando de Castilla,Classic Dry Sec Fino N.V.,"3,3","€14,95",1727910226.2335773
/NL/nl/lustau-papirusa-manzanilla-solera-reserva/w/1170125?price_id=1947960,Lustau,Papirusa Manzanilla (Solera Reserva) N.V.,"3,6","€14,99",1727910226.2335773
/NL/nl/baron-107124-micaela-moscatel/w/3966742?price_id=25518506,Barón,Micaela Moscatel N.V.,"3,9",€15,1727910226.2335773
/NL/nl/tio-pepe-palomino-fino-sherry-muy-seco/w/1212990?price_id=35855811,Tio Pepe,Palomino Fino Sherry (Muy Seco) N.V.,"3,3","€15,15",1727910226.2355504
/NL/nl/osborne-fino-sherry-fino-sherry/w/6447143?price_id=32976137,Osborne,Fino Sherry N.V.,"3,1","€15,40",1727910226.2360609
/NL/nl/osborne-manzanilla-sherry-fina/w/1164454?price_id=32524557,Osborne,Manzanilla Sherry Fina N.V.,"3,1","€15,40",1727910226.237519
/NL/nl/barbadillo-pedro-ximenez-sherry/w/1158536?price_id=11196625,Barbadillo,Pedro Ximénez Sherry N.V.,"3,8","€15,50",1727910226.2386274
/NL/nl/fernando-de-castilla-classic-dry-amontillado-sherry-jerez-xeres-sherry/w/7733001?price_id=22109274,Fernando de Castilla,Classic Dry Amontillado Sherry N.V.,"3,7","€15,95",1727910226.239642
/NL/nl/fernando-de-castilla-oloroso-classic-dry/w/7285185?price_id=18955995,Fernando de Castilla,Oloroso Classic Dry N.V.,"3,7","€15,95",1727910226.239642
/NL/nl/gutierrez-colosia-fino-sherry/w/2021109?price_id=32524019,Gutiérrez Colosía,Fino Sherry N.V.,"3,4","€15,99",1727910226.2406514
/NL/nl/pastora-pedro-ximenez-sherry/w/4209269?price_id=21889217,Pastora,Pedro Ximénez Sherry N.V.,"4,1","€16,30",1727910226.2406514
