hyperlink,Brand,Wine,Rating,Price,Timestamps
/NL/nl/teso-la-monja-tinto/w/1450977?year=2019&price_id=34931547,Teso La Monja,Tinto 2019,"4,7",€2.795,1727903758.512879
/NL/nl/dominio-de-pingus-pingus/w/1876294?year=2020&price_id=35940065,Dominio de Pingus,Pingus 2020,"4,4",€1.640,1727903758.514044
/NL/nl/descendientes-de-j-palacios-la-faraona-bierzo-corullon/w/1632340?year=2021&price_id=34884018,Descendientes de J. Palacios,La Faraona Bierzo (Corullón) 2021,"4,6",€1.595,1727903758.5152042
/NL/nl/alvaro-palacios-l-ermita-velles-vinyes-priorat/w/67064?year=2021&price_id=34885074,Álvaro Palacios,L'Ermita Velles Vinyes Priorat 2021,"4,7",€1.350,1727903758.5163627
/NL/nl/vega-sicilia-unico-gran-reserva/w/77137?year=1996&price_id=34112974,Vega Sicilia,Unico (Gran Reserva) 1996,"4,8","€1.308,45",1727903758.5175176
/NL/nl/vega-sicilia-unico-gran-reserva/w/77137?year=1991&price_id=36448053,Vega Sicilia,Unico (Gran Reserva) 1991,"4,7","€1.260,40",1727903758.5186665
/NL/nl/vega-sicilia-unico-gran-reserva/w/77137?year=2006&price_id=35281868,Vega Sicilia,Unico (Gran Reserva) 2006,"4,7","€1.167,54",1727903758.5198185
/NL/nl/sierra-cantabria-156664-magico/w/5806244?year=2021&price_id=35666336,Sierra Cantabria,Mágico 2021,"4,7",€945,1727903758.5209703
/NL/nl/vega-sicilia-unico-reserva-especial-edicion/w/77136?year=2023&price_id=32682748,Vega Sicilia,Unico Reserva Especial Edición 2023,"4,7","€742,48",1727903758.5222661
/NL/nl/vega-sicilia-unico-reserva-especial-edicion/w/77136?year=2017&price_id=36462792,Vega Sicilia,Unico Reserva Especial Edición 2017,"4,7",€699,1727903758.5237997
/NL/nl/vega-sicilia-unico-reserva-especial-edicion/w/77136?year=2022&price_id=29220446,Vega Sicilia,Unico Reserva Especial Edición 2022,"4,9","€696,74",1727903758.5243075
/NL/nl/vega-sicilia-unico-reserva-especial-edicion/w/77136?year=2020&price_id=23401724,Vega Sicilia,Unico Reserva Especial Edición 2020,"4,8","€681,50",1727903758.525462
/NL/nl/vega-sicilia-unico-reserva-especial-edicion/w/77136?year=2015&price_id=23399625,Vega Sicilia,Unico Reserva Especial Edición 2015,"4,8","€666,25",1727903758.5266201
/NL/nl/vega-sicilia-unico-reserva-especial-edicion/w/77136?year=2019&price_id=22455984,Vega Sicilia,Unico Reserva Especial Edición 2019,"4,8","€666,25",1727903758.5277803
/NL/nl/vega-sicilia-unico-gran-reserva/w/77137?year=2000&price_id=32763885,Vega Sicilia,Unico (Gran Reserva) 2000,"4,7",€650,1727903758.5289385
/NL/nl/pares-balta-dominio-cusine-1790/w/13470?year=1996&price_id=35910962,Parés Baltà,Dominio Cusiné 1790 1996,"4,6","€641,75",1727903758.530104
