hyperlink,Brand,Wine,Rating,Price,Timestamps
/NL/nl/jean-leon-thirty-fiftyfive-rose/w/1567205?year=2023&price_id=36453641,Jean Leon,3055 Rosé 2023,"3,7","€15,95",1727909338.7366407
/NL/nl/dinastia-vivanco-tempranillo-garnacha-tinta-y-blanca-rioja/w/6412920?year=2022&price_id=36313637,Vivanco,Tempranillo - Garnacha Tinta y Blanca 2022,"3,6","€15,20",1727909338.7377172
/NL/nl/pago-del-vicario-petit-verdot-rosado/w/16924?year=2023&price_id=36647594,Pago del Vicario,Petit Verdot Rosado 2023,"3,8",€10,1727909338.7387388
/NL/nl/armas-de-guerra-rosado-mencia/w/2437710?year=2022&price_id=33317716,Armas de Guerra,Rosado Mencía 2022,"3,8","€7,95",1727909338.7397575
/NL/nl/bodegas-care-rosado/w/1261831?year=2023&price_id=35336772,Bodegas Care,Rosado 2023,"3,7","€8,25",1727909338.7408664
/NL/nl/dominio-del-aguila-picaro-del-aguila-clarete/w/5009547?year=2022&price_id=37140939,Dominio del Águila,Pícaro del Águila Clarete 2022,"4,1","€43,51",1727909338.7419813
/NL/nl/dominio-de-eguren-protocolo-rosado/w/9398?year=2023&price_id=35368516,Dominio de Eguren,Protocolo Rosado 2023,"3,5","€7,75",1727909338.7431023
/NL/nl/bodegas-care-solidarity-rose/w/2402354?year=2023&price_id=35336770,Bodegas Care,Solidarity Rosé 2023,"3,7","€8,50",1727909338.744232
/NL/nl/ibizkus-rosado/w/1730446?year=2023&price_id=36591074,Ibizkus,Rosado 2023,"3,7","€24,95",1727909338.744232
/NL/nl/hispano-suizas-impromptu-rose/w/3228374?year=2023&price_id=37058680,Hispano Suizas,Impromptu Rosé 2023,"4,0","€28,95",1727909338.7464325
/NL/nl/celler-del-roure-les-prunes-les-filles-d-amalia-blanc-de-mando-comunitat-valenciana/w/6545671?year=2021&price_id=31965429,Celler del Roure,Les Prunes Les Filles d'Amàlia Blanc de Mandó 2021,"3,8","€11,50",1727909338.7474477
/NL/nl/belondrade-quinta-clarisa-belondrade/w/1238913?year=2023&price_id=35519883,Belondrade,Quinta Clarisa Belondrade 2023,"3,6","€18,95",1727909338.748461
/NL/nl/barinas-rosado/w/2546040?year=2023&price_id=35836118,Barinas,Rosado 2023,"3,9","€6,50",1727909338.749596
