hyperlink,Brand,Wine,Rating,Price,Timestamps
/NL/nl/segura-viudas-cava-reserva-heredad-brut/w/5063?price_id=36281450,Segura Viudas,Cava Reserva Heredad Brut,"3,9","€30,09",1727909649.407138
/NL/nl/jaume-serra-cava-brut/w/1151570?price_id=22109625,Jaume Serra,Cava Brut N.V.,"3,5","€7,95",1727909649.4086566
/NL/nl/villa-conchi-cava-brut-seleccion/w/1285851?price_id=24859234,Villa Conchi,Cava Brut Selección N.V.,"3,7","€9,89",1727909649.4091687
/NL/nl/jaume-serra-cava-brut-nature/w/1136343?price_id=33612901,Jaume Serra,Cava Brut Nature N.V.,"3,2","€10,45",1727909649.410182
/NL/nl/jaume-serra-arte-latino-cava-brut/w/1215754?price_id=30243151,Jaume Serra,Arte Latino Cava Brut N.V.,"3,5","€9,45",1727909649.410182
/NL/nl/agusti-torello-mata-cava-reserva-brut/w/1174061?year=2020&price_id=33290687,Agusti Torello Mata,Cava Reserva Brut 2020,"3,8","€16,35",1727909649.4112089
/NL/nl/el-miracle-cava-brut/w/1207036?price_id=36395363,El Miracle,Cava Brut N.V.,"3,4","€8,50",1727909649.4112089
/NL/nl/pares-balta-brut-cava/w/1137008?price_id=35911659,Parés Baltà,Brut Cava N.V.,"3,5","€15,20",1727909649.4122515
/NL/nl/clos-montblanc-cava-proyecto-cu4tro-bubbles/w/1895243?price_id=36232883,Clos Montblanc,Cava Proyecto Cu4tro Bubbles N.V.,"3,5","€12,95",1727909649.4133022
/NL/nl/anna-de-codorniu-brut-rose-pink/w/1223535?price_id=33876409,Anna de Codorniu,Brut Rosé (Pink) N.V.,"3,6","€14,50",1727909649.4133022
/NL/nl/pere-ventura-cavas-cava-primer-reserva-brut/w/1214949?price_id=18301868,Pere Ventura Cavas,Cava Primer Reserva Brut N.V.,"3,7","€12,40",1727909649.4143355
/NL/nl/segura-viudas-cava-brut-comunidad-autnoma-de-catalua-sparkling/w/4314615?price_id=36883301,Segura Viudas,Cava Brut N.V.,"3,7","€18,60",1727909649.4143355
/NL/nl/agusti-torello-mata-cava-gran-reserva-brut-nature/w/1319610?year=2020&price_id=33521876,Agusti Torello Mata,Cava Gran Reserva Brut Nature 2020,"3,9","€56,25",1727909649.4154391
/NL/nl/clos-amador-cava-reserva-brut-delicat/w/1973312?price_id=12339111,Clos Amador,Cava Reserva Brut Delicat N.V.,"3,7","€11,95",1727909649.4154391
/NL/nl/freixenet-cava-cuvee-de-prestige-reserva-real-brut/w/1271562?price_id=35881279,Freixenet,Cava Cuvée de Prestige Reserva Real Brut N.V.,"4,0","€17,95",1727909649.4154391
/NL/nl/segura-viudas-cava-brut-rosado/w/5057?price_id=36281448,Segura Viudas,Cava Brut Rosado N.V.,"3,5","€11,17",1727909649.4164615
/NL/nl/cune-cvne-cava-brut-cava-sparkling/w/5028941?price_id=37000463,Cune (CVNE),Cava Brut N.V.,"3,6","€14,50",1727909649.4169776
