Hyperlink,Brand,Wine,Rating,Price,Timestamps
/NL/nl/conde-pinel-viura-verdejo/w/1706081?year=2023&price_id=37074204,Conde Pinel,Viura - Verdejo 2023,"3,3","€5,25",1727908602.3466656
/NL/nl/vinedos-y-bodegas-munoz-legado-munoz-macabeo-verdejo-la-mancha/w/5630258?year=2023&price_id=36589451,Viñedos y Bodegas Muñoz,Legado Muñoz Macabeo - Verdejo 2023,"4,2","€5,45",1727908602.3476906
/NL/nl/autentico-utiel-requena-organic-blanco/w/7562263?year=2022&price_id=32103954,Autentico,Organic Blanco 2022,"3,4","€5,49",1727908602.3498695
/NL/nl/yuntero-ortiga-airen-sauvignon-blanc-la-mancha/w/8159241?year=2023&price_id=36499238,Bodegas Yuntero,Ortiga Airen - Sauvignon Blanc 2023,"3,5","€5,50",1727908602.3510149
/NL/nl/radio-boka-verdejo-castilla-y-leon/w/2673048?year=2023&price_id=37074206,Radio Boka,Verdejo Castilla y León 2023,"3,5","€5,50",1727908602.3521574
/NL/nl/pasos-de-la-capula-verdejo/w/1148312?year=2023&price_id=37093782,Pasos de la Capula,Verdejo 2023,"3,3","€5,59",1727908602.3542159
/NL/nl/marques-del-turia-blanco-viura-sauvignon-blanc/w/1190800?year=2023&price_id=36709995,Marqués del Turia,Blanco (Viura - Sauvignon Blanc) 2023,"3,2","€5,95",1727908602.3553941
/NL/nl/yuntero-mundo-de-yuntero-bio-blanco/w/1892417?year=2023&price_id=36499219,Bodegas Yuntero,Mundo de Yuntero Bio Blanco 2023,"3,5","€5,95",1727908602.3553941
/NL/nl/bodegas-latue-clearly-organic-airen-sauvignon-blanc/w/3867449?year=2022&price_id=32418300,Bodegas Latúe,Clearly Organic Airén - Sauvignon Blanc 2022,"3,7","€5,95",1727908602.3576105
/NL/nl/yuntero-mundo-de-yuntero-bio-blanco/w/1892417?year=2022&price_id=34775292,Bodegas Yuntero,Mundo de Yuntero Bio Blanco 2022,"3,5","€5,95",1727908602.358749
/NL/nl/yuntero-pure-organic-verdejo-white-wine-v-jpxum/w/5593446?year=2023&price_id=36499203,Bodegas Yuntero,Pure Organic Verdejo 2023,"3,5","€5,95",1727908602.358749
/NL/nl/anoranza-sauvignon-blanc/w/1164486?year=2023&price_id=36626654,Añoranza,Sauvignon Blanc 2023,"3,2","€5,95",1727908602.359881
