hyperlink,Brand,Wine,Rating,Price,Timestamps
/NL/nl/marques-de-vizhoja-torre-la-moreira-albarino/w/1155895?year=2021&price_id=33469755,Marqués de Vizhoja,Torre la Moreira Albariño 2021,"3,9",€20,1727909135.2815337
/NL/nl/adegas-moure-a-fuga-blanco/w/7394327?year=2021&price_id=29331233,Abadia da Cova,A Fuga Blanco 2021,"4,0",€20,1727909135.2825665
/NL/nl/es-macia-batle-blanc-de-blancs/w/77641?year=2023&price_id=36281252,Macià Batle,Blanc de Blancs 2023,"3,8","€20,02",1727909135.2835963
/NL/nl/pago-de-los-capellanes-o-luar-do-sil-valdeorras-godello-valdeorras-white-wine-v/w/5766980?year=2023&price_id=35941230,Pago de Los Capellanes,O Luar do Sil Valdeorras Godello 2023,"4,2","€20,19",1727909135.2846203
/NL/nl/acustic-celler-ritme-blanc/w/1315034?year=2022&price_id=35774353,Acustic Celler,Ritme Blanc 2022,"3,9","€20,25",1727909135.2856383
/NL/nl/lagar-de-cervera-pazo-de-seoane-rosal/w/4960687?year=2021&price_id=35911039,Lagar de Cervera,Pazo de Seoane Rosal 2021,"4,0","€20,40",1727909135.2866697
/NL/nl/zarate-albarino/w/2342567?year=2023&price_id=35911693,Zárate,Albariño 2023,"4,0","€20,40",1727909135.28768
/NL/nl/eduardo-pena-red/w/2184512?year=2023&price_id=36040113,Eduardo Peña,María Andrea 2023,"3,9","€20,40",1727909135.2887127
/NL/nl/protos-verdejo/w/1135415?year=2023&price_id=36188501,Protos,Verdejo 2023,"3,9","€20,46",1727909135.2897677
/NL/nl/pazo-casanova-finca-vinoa-blanco/w/2306989?year=2021&price_id=30848306,Pazo Casanova,Finca Viñoa Blanco 2021,"4,0","€20,50",1727909135.2908027
/NL/nl/mas-foraster-josep-foraster-brisat-del-coster-macabeu-tc7fb/w/6596629?year=2022&price_id=32721489,Mas Foraster,Josep Foraster Brisat del Coster Macabeu 2022,"3,8","€20,50",1727909135.2918098
/NL/nl/estones-vine-blanco/w/3441518?year=2019&price_id=34155538,Estones,Vine Blanco 2019,"4,1","€20,50",1727909135.2928886
/NL/nl/mas-foraster-josep-foraster-brisat-del-coster-macabeu-tc7fb/w/6596629?year=2021&price_id=29667448,Mas Foraster,Josep Foraster Brisat del Coster Macabeu 2021,"3,7","€20,50",1727909135.293909
/NL/nl/javier-sanz-viticultor-singular-v-malcorta-verdejo/w/3973507?year=2023&price_id=36891936,Javier Sanz Viticultor,Singular V Malcorta Verdejo 2023,"4,1","€23,95",1727909135.2949262
/NL/nl/costeira-via-barrosa-albarino/w/7587471?year=2023&price_id=36730373,Viña Costeira,Via Barrosa Albariño 2023,"4,0","€20,77",1727909135.2949262
/NL/nl/tentenublo-rioja-blanco/w/4152844?year=2021&price_id=34930840,Tentenublo,Rioja Blanco 2021,"3,8","€20,95",1727909135.2961593
/NL/nl/pascual-leira-reyero-albarino/w/1199223?year=2023&price_id=36996763,Bodegas Pascual,Leira Reyero Albariño 2023,"4,0",€21,1727909135.2971644
/NL/nl/iturrialde-txacoli-de-bizcaia-geroa-txakoli/w/5264069?year=2021&price_id=33767831,Iturrialde,Geroa Txakoli 2021,"3,7","€21,01",1727909135.2982285
/NL/nl/ferrador-treixadura-torrontes/w/10863689?year=2022&price_id=36902545,Ferrador,Treixadura - Torrontés 2022,"4,2","€21,40",1727909135.2992327
/NL/nl/vinatigo-listan-blanco-de-canarias-blanco/w/1853082?year=2022&price_id=36810825,Viñátigo,Listan Blanco de Canarias Blanco 2022,"3,8","€21,50",1727909135.3002455
/NL/nl/eduardo-pena-red/w/2184512?year=2022&price_id=35359355,Eduardo Peña,María Andrea 2022,"3,9","€21,50",1727909135.3018079
/NL/nl/attis-albarino-lias-finas/w/1249045?year=2023&price_id=36017090,Attis,Albariño Lías Finas 2023,"4,1","€21,50",1727909135.3023226
/NL/nl/ossian-quintaluna/w/1169393?year=2021&price_id=36541213,Ossian,Quintaluna 2021,"4,0","€21,60",1727909135.3033457
/NL/nl/el-pacto-el-pacto-del-alto-najerilla-blanco/w/10484389?year=2021&price_id=34206251,El Pacto,El Pacto del Alto Najerilla Blanco 2021,"3,9","€21,79",1727909135.3048594
/NL/nl/sierra-de-tolono-viura/w/3226947?year=2023&price_id=35522806,Sierra de Toloño,Viura 2023,"3,7","€21,83",1727909135.3053637
/NL/nl/nin-ortiz-terra-vermella-de-nin-blanco/w/4220654?year=2020&price_id=34658381,Nin-Ortiz,Terra Vermella de Nin Blanco 2020,"4,1","€63,96",1727909135.3064067
/NL/nl/eulogio-pomares-maceracion-con-pieles/w/4321994?year=2021&price_id=35939679,Eulogio Pomares,Maceración Con Pieles 2021,"4,2","€62,40",1727909135.3074656
/NL/nl/pazo-senorans-seleccion-de-anada-albarino-rias-baixas/w/50644?year=2014&price_id=35317646,Pazo Señorans,Seleccion de Añada Albariño Rías Baixas 2014,"4,3","€61,95",1727909135.3085463
/NL/nl/pujanza-s-j-anteportalatina/w/5797172?year=2020&price_id=34931780,Pujanza,S.J. Anteportalatina 2020,"4,2","€59,95",1727909135.309629
/NL/nl/venus-la-universal-venus-de-cartoixa/w/7428175?year=2018&price_id=35357562,Venus la Universal,Venus de Cartoixà 2018,"4,3","€59,95",1727909135.309629
/NL/nl/vinyes-del-terrer-nus-del-terrer-blanco/w/8183114?year=2016&price_id=35866627,Vinyes del Terrer,Nus del Terrer Blanco 2016,"4,3","€59,50",1727909135.3116994
/NL/nl/joan-rubio-obstinat/w/6331110?year=2018&price_id=35503332,Joan Rubió,Obstinat 2018,"3,9","€59,50",1727909135.3122048
/NL/nl/rafael-palacios-as-sortes-val-do-bibei-godello/w/1889460?year=2022&price_id=36607274,Rafael Palacios,As Sortes Val do Bibei Godello 2022,"4,3","€59,16",1727909135.3142447
/NL/nl/gomez-cruzado-montes-obarenes-seleccion-terroir/w/4406127?year=2019&price_id=30590275,Gómez Cruzado,Montes Obarenes Selección Terroir 2019,"4,3",€59,1727909135.315274
/NL/nl/gomez-cruzado-montes-obarenes-seleccion-terroir/w/4406127?year=2021&price_id=37120687,Gómez Cruzado,Montes Obarenes Selección Terroir 2021,"4,3",€59,1727909135.3162885
/NL/nl/pazo-senorans-tras-los-muros-albarino/w/7748278?year=2020&price_id=37106705,Pazo Señorans,Tras Los Muros Albariño 2020,"4,3","€58,90",1727909135.3183577
/NL/nl/bodegas-ximenez-spinola-varietal-fermentacion-lenta/w/4361682?year=2021&price_id=33294116,Bodegas Ximénez-Spínola,Varietal Fermentacion Lenta 2021,"4,2","€58,28",1727909135.3183577
/NL/nl/sara-perez-y-rene-barbier-gratallops-partida-bellvisos-blanco/w/5344552?year=2019&price_id=35521587,Sara Pérez y René Barbier,Gratallops Partida Bellvisos Blanco 2019,"4,2","€57,95",1727909135.3203783
/NL/nl/familia-torres-milmanda/w/2623?year=2020&price_id=33113833,Familia Torres,Milmanda 2020,"4,0","€56,95",1727909135.3203783
/NL/nl/javier-sanz-viticultor-finca-saltamontes/w/1661843?year=2018&price_id=35548635,Javier Sanz Viticultor,Finca Saltamontes 2018,"4,1","€56,95",1727909135.321953
/NL/nl/llanos-negros-los-tabaqueros/w/4214223?year=2006&price_id=33402228,Llanos Negros,Los Tabaqueros 2006,"4,3",€55,1727909135.3225424
/NL/nl/vinyes-del-terrer-nus-del-terrer-blanco/w/8183114?year=2019&price_id=30825842,Vinyes del Terrer,Nus del Terrer Blanco 2019,"4,3",€55,1727909135.3235648
/NL/nl/clos-mogador-nelin/w/1178755?year=2021&price_id=35304453,Clos Mogador,Nelin 2021,"4,2","€54,95",1727909135.3246017
/NL/nl/sara-perez-y-rene-barbier-gratallops-partida-bellvisos-blanco/w/5344552?year=2018&price_id=34932066,Sara Pérez y René Barbier,Gratallops Partida Bellvisos Blanco 2018,"4,2","€54,95",1727909135.3256114
/NL/nl/belondrade-belondrade-y-lurton/w/76476?year=2022&price_id=37141954,Belondrade,Belondrade y Lurton 2022,"4,4","€54,95",1727909135.326772
/NL/nl/nin-ortiz-planetes-de-nin-priorat-blanc/w/5821631?year=2022&price_id=34658382,Nin-Ortiz,Planetes de Nin Priorat Blanc 2022,"4,0","€54,81",1727909135.3277824
/NL/nl/nin-ortiz-terra-vermella-de-nin-blanco/w/4220654?year=2019&price_id=34521412,Nin-Ortiz,Terra Vermella de Nin Blanco 2019,"4,1","€52,95",1727909135.328826
/NL/nl/clos-mogador-nelin/w/1178755?year=2020&price_id=34932048,Clos Mogador,Nelin 2020,"4,2","€52,95",1727909135.3308637
/NL/nl/clos-mogador-nelin/w/1178755?year=2019&price_id=34931291,Clos Mogador,Nelin 2019,"4,2","€51,95",1727909135.3318963
/NL/nl/zarate-el-palomar-albarino/w/1125013?year=2022&price_id=37106718,Zárate,El Palomar Albariño 2022,"4,1","€51,90",1727909135.3318963
/NL/nl/zarate-balado-albarino/w/1815023?year=2022&price_id=37100369,Zárate,Balado Albariño 2022,"4,0","€51,90",1727909135.3333821
/NL/nl/zarate-tras-da-vina-albarino/w/1125479?year=2021&price_id=37106731,Zárate,Tras da Viña Albariño 2021,"4,2","€51,90",1727909135.3343947
/NL/nl/can-bas-la-romana/w/2284872?year=2019&price_id=33617454,Can Bas,La Romana 2019,"4,3","€49,95",1727909135.3354063
/NL/nl/enate-chardonnay-fermentado-en-barrica/w/9063?year=2021&price_id=34931757,Enate,Chardonnay Fermentado en Barrica 2021,"4,2","€49,75",1727909135.3364165
